1,"Woolworths SA","Keep it going and keep it flowing!"
2,"Woolworths SA","Can't find a Father's Day gift? Buy your dad some #WooliesWater and let the improved diction flow!"
3,"Woolworths SA","Pesky Word Limit got you down? Buy some #WooliesWater and feel your brain start to photosynthesize."
4,"Woolworths SA","@bab_Sinkila We like what you're doing. Let's amalgamate!"
5,"Woolworths SA","The Winter Frenzy continues! Make sure you have your #WooliesWater there to keep you warm!"
6,"Woolworths SA","Ah who could say no to the #WooliesWaterChallenge?"
7,"Woolworths SA","TIP #24: If you are a coffee lover; then I am sure you'll love it more if its made with #WooliesWater!"
8,"Woolworths SA","The #WooliesWaterChallenge will amalgamate the country. Join the fun by buying some #WooliesWater!"
9,"Woolworths SA","For Dads who do downtime: introducing the latest sleepwear: https://bit.ly/2XlM5H6"
10,"Woolworths SA","Thank you to everyone for participating in the #WooliesWaterChallenge! Keep it going and Keep it flowing! Amalgamate the country with #WooliesWater"
11,"Oxford Dictionary","Amalgamate: To join or unite two ideas, groups or individuals"
12,"Oxford Dictionary","Butter upon bacon: A Victorian Era phrase meaning to be fancy and extravagent"
13,"Oxford Dictionary","Chuckaboo: A Victorian Era phrase meaning close friend or companion"
14,"Oxford Dictionary","Sauce-box: A Victorian Era phrase meaning the mouth of a person or creature"
15,"Oxford Dictionary","Shoot into the Brown: A Victorian Era phrase meaning to fail or miss"
16,"Oxford Dictionary","Gas-Pipes: A Victorian Era phrase meaning tight pants"
17,"Oxford Dictionary","Shake a Flannin: A Victorian Era phrase meaning to have a fight"
18,"Oxford Dictionary","Daddles: A Victorian Era word for hands"
19,"Oxford Dictionary","Rain Napper: A Victorian Era word meaning umbrella"
20,"Oxford Dictionary","Not up to dick: A Victorian Era phrase used to say that one is feeling unwell"
21,"YouTube","It seems the #WooliesWaterChallenge is trending in South Africa today!"
22,"YouTube","#SubscribeToPewdiepie is officially over! We can start to make YouTube the corporate platform we have always dreamed of!"
23,"YouTube","We are thinking of implementing a video length limit to people who haven't purchased #WooliesWater yet"
